userid,tittle,grade
178,"糯玉米",2
287,"糯玉米",2
155,"糯玉米",0
110,"糯玉米",4
111,"糯玉米",1
75,"糯玉米",2
57,"糯玉米",1
261,"糯玉米",2
95,"糯玉米",3
181,"糯玉米",1
37,"糯玉米",1
7,"糯玉米",4
30,"糯玉米",4
182,"糯玉米",5
254,"糯玉米",5
56,"糯玉米",0
65,"糯玉米",3
6,"糯玉米",1
99,"麦片",1
233,"麦片",1
170,"麦片",1
28,"麦片",1
294,"麦片",1
188,"麦片",2
29,"麦片",4
261,"芋头",3
24,"芋头",1
71,"芋头",4
156,"芋头",2
263,"芋头",1
125,"芋头",5
289,"芋头",0
248,"芋头",3
182,"芋头",1
79,"芋头",0
152,"煮芋头",1
134,"煮芋头",1
99,"煮芋头",3
30,"煮芋头",0
110,"煮芋头",5
228,"煮芋头",0
49,"煮芋头",2
133,"煮芋头",1
201,"煮芋头",0
159,"煮芋头",3
137,"煮芋头",5
34,"煮芋头",5
80,"煮芋头",3
262,"煮芋头",1
127,"煮芋头",3
94,"煮芋头",0
98,"水果玉米",4
126,"水果玉米",3
280,"水果玉米",3
42,"水果玉米",1
147,"水果玉米",4
151,"水果玉米",4
58,"水果玉米",0
228,"水果玉米",0
137,"水果玉米",4
83,"水果玉米",0
274,"水果玉米",4
195,"水果玉米",0
144,"水果玉米",5
92,"水果玉米",4
263,"水果玉米",3
179,"水果玉米",2
205,"饺子",2
152,"饺子",2
133,"饺子",3
55,"饺子",4
93,"饺子",3
229,"饺子",4
22,"饺子",5
38,"饺子",3
269,"饺子",4
50,"饺子",0
51,"饺子",3
58,"饺子",0
34,"饺子",5
121,"饺子",3
41,"饺子",3
91,"饺子",4
57,"饺子",4
155,"饺子",2
93,"山药",0
191,"山药",2
113,"山药",1
289,"山药",5
243,"山药",3
219,"山药",3
39,"山药",1
33,"山药",0
127,"山药",3
121,"山药",3
9,"桂格 即食燕麦片(经典原味)",0
155,"桂格 即食燕麦片(经典原味)",0
28,"桂格 即食燕麦片(经典原味)",4
109,"桂格 即食燕麦片(经典原味)",4
185,"桂格 即食燕麦片(经典原味)",1
199,"桂格 即食燕麦片(经典原味)",3
17,"桂格 即食燕麦片(经典原味)",3
15,"桂格 即食燕麦片(经典原味)",5
174,"桂格 即食燕麦片(经典原味)",2
88,"桂格 即食燕麦片(经典原味)",2
158,"桂格 即食燕麦片(经典原味)",3
22,"桂格 即食燕麦片(经典原味)",2
248,"桂格 即食燕麦片(经典原味)",3
280,"桂格 即食燕麦片(经典原味)",4
263,"桂格 即食燕麦片(经典原味)",2
37,"桂格 即食燕麦片(经典原味)",0
225,"桂格 即食燕麦片(经典原味)",1
152,"桂格 即食燕麦片(经典原味)",4
255,"桂格 即食燕麦片(经典原味)",4
233,"桂格 即食燕麦片(经典原味)",0
173,"桂格 即食燕麦片(经典原味)",4
204,"桂格 即食燕麦片(经典原味)",1
201,"桂格 即食燕麦片(经典原味)",5
106,"桂格 即食燕麦片(经典原味)",2
227,"桂格 即食燕麦片(经典原味)",1
259,"桂格 即食燕麦片(经典原味)",3
38,"桂格 即食燕麦片(经典原味)",5
84,"桂格 即食燕麦片(经典原味)",3
64,"桂格 即食燕麦片(经典原味)",3
232,"桂格 即食燕麦片(经典原味)",0
146,"桂格 即食燕麦片(经典原味)",0
78,"桂格 即食燕麦片(经典原味)",5
50,"桂格 即食燕麦片(经典原味)",1
274,"桂格 即食燕麦片(经典原味)",3
284,"桂格 即食燕麦片(经典原味)",5
151,"桂格 即食燕麦片(经典原味)",0
138,"桂格 即食燕麦片(经典原味)",4
123,"桂格 即食燕麦片(经典原味)",1
261,"桂格 即食燕麦片(经典原味)",2
55,"桂格 即食燕麦片(经典原味)",5
236,"桂格 即食燕麦片(经典原味)",2
43,"大米",0
156,"大米",4
111,"大米",0
297,"大米",4
73,"大米",0
203,"大米",1
137,"大米",5
170,"大米",3
178,"大米",3
57,"大米",5
211,"大米",1
36,"大米",3
267,"大米",3
133,"大米",5
274,"大米",2
120,"大米",3
232,"大米",5
45,"大米",0
88,"大米",4
44,"大米",4
142,"大米",5
67,"大米",1
87,"大米",4
188,"大米",5
71,"大米",1
83,"大米",1
183,"大米",1
103,"大米",0
128,"大米",1
164,"大米",1
134,"大米",3
167,"大米",1
90,"大米",0
284,"大米",2
191,"大米",3
186,"大米",1
46,"大米",0
124,"珍珠玉米",4
274,"珍珠玉米",4
147,"珍珠玉米",3
289,"珍珠玉米",4
291,"珍珠玉米",0
76,"珍珠玉米",1
142,"珍珠玉米",2
112,"珍珠玉米",1
260,"珍珠玉米",3
284,"珍珠玉米",1
228,"珍珠玉米",3
52,"珍珠玉米",5
251,"珍珠玉米",3
224,"珍珠玉米",1
189,"珍珠玉米",2
11,"珍珠玉米",5
186,"珍珠玉米",1
16,"珍珠玉米",2
36,"珍珠玉米",4
132,"珍珠玉米",3
264,"珍珠玉米",3
206,"珍珠玉米",3
117,"珍珠玉米",0
79,"珍珠玉米",2
137,"珍珠玉米",1
122,"珍珠玉米",2
180,"珍珠玉米",0
43,"珍珠玉米",4
19,"珍珠玉米",2
9,"珍珠玉米",4
188,"珍珠玉米",3
67,"珍珠玉米",1
221,"珍珠玉米",3
88,"炒饭",0
154,"炒饭",3
53,"炒饭",5
254,"炒饭",3
43,"炒饭",5
198,"炒饭",0
121,"炒饭",4
85,"炒饭",1
144,"炒饭",1
240,"炒饭",0
194,"炒饭",2
182,"炒饭",5
91,"炒饭",0
114,"炒饭",5
32,"炒饭",2
208,"炒饭",0
37,"炒饭",3
13,"炒饭",1
33,"炒饭",4
173,"炒饭",5
169,"方便面",5
78,"方便面",4
47,"方便面",5
151,"方便面",2
167,"方便面",5
144,"方便面",3
12,"方便面",1
292,"方便面",0
127,"方便面",2
197,"方便面",4
157,"方便面",2
70,"方便面",4
264,"方便面",3
90,"方便面",5
59,"方便面",5
158,"方便面",2
273,"方便面",0
277,"方便面",4
89,"方便面",0
145,"方便面",4
262,"方便面",5
245,"方便面",1
39,"方便面",1
296,"方便面",5
291,"方便面",4
199,"方便面",3
263,"方便面",5
63,"方便面",4
74,"方便面",3
271,"方便面",4
86,"方便面",1
299,"方便面",5
287,"方便面",4
230,"方便面",5
3,"方便面",0
142,"方便面",1
102,"方便面",5
137,"方便面",5
272,"方便面",2
209,"方便面",2
99,"方便面",2
109,"方便面",4
21,"方便面",1
205,"方便面",1
114,"方便面",1
150,"方便面",0
19,"方便面",3
2,"方便面",2
241,"方便面",3
51,"方便面",5
42,"甜玉米",1
102,"甜玉米",1
299,"甜玉米",4
38,"甜玉米",0
162,"甜玉米",5
184,"甜玉米",3
125,"甜玉米",3
74,"甜玉米",4
244,"甜玉米",2
249,"甜玉米",0
180,"甜玉米",3
101,"甜玉米",2
177,"甜玉米",1
146,"甜玉米",1
266,"甜玉米",1
209,"甜玉米",2
224,"甜玉米",3
94,"甜玉米",1
190,"甜玉米",5
226,"甜玉米",5
141,"甜玉米",0
220,"甜玉米",0
86,"甜玉米",0
292,"甜玉米",5
170,"甜玉米",0
132,"甜玉米",4
115,"甜玉米",1
179,"甜玉米",2
219,"甜玉米",1
2,"甜玉米",2
284,"甜玉米",4
290,"甜玉米",2
106,"甜玉米",4
237,"甜玉米",1
161,"甜玉米",2
201,"甜玉米",2
261,"甜玉米",2
9,"甜玉米",1
39,"甜玉米",3
269,"甜玉米",3
118,"甜玉米",2
245,"甜玉米",4
196,"甜玉米",5
218,"甜玉米",2
282,"甜玉米",4
113,"甜玉米",0
132,"面包世家 全麦欧包",5
32,"面包世家 全麦欧包",5
242,"面包世家 全麦欧包",4
219,"面包世家 全麦欧包",2
7,"面包世家 全麦欧包",5
61,"面包世家 全麦欧包",2
93,"面包世家 全麦欧包",3
50,"面包世家 全麦欧包",4
102,"面包世家 全麦欧包",4
187,"面包世家 全麦欧包",4
92,"面包世家 全麦欧包",3
259,"面包世家 全麦欧包",4
262,"面包世家 全麦欧包",3
30,"面包世家 全麦欧包",4
99,"面包世家 全麦欧包",3
107,"面包世家 全麦欧包",3
43,"面包世家 全麦欧包",3
237,"面包世家 全麦欧包",2
54,"面包世家 全麦欧包",1
221,"面包世家 全麦欧包",4
194,"面包世家 全麦欧包",5
244,"面包世家 全麦欧包",1
165,"面包世家 全麦欧包",2
289,"面包世家 全麦欧包",4
61,"蒸土豆",4
217,"蒸土豆",1
279,"蒸土豆",2
191,"蒸土豆",4
125,"蒸土豆",5
118,"蒸土豆",5
160,"蒸土豆",0
49,"蒸土豆",5
179,"蒸土豆",3
46,"蒸土豆",5
158,"蒸土豆",1
112,"蒸土豆",3
6,"蒸土豆",0
237,"面条(生)",3
154,"面条(生)",3
111,"面条(生)",2
200,"面条(生)",4
71,"面条(生)",1
56,"面条(生)",3
247,"面条(生)",0
132,"面条(生)",5
18,"饺子/馄饨(半荤)",5
96,"饺子/馄饨(半荤)",3
217,"饺子/馄饨(半荤)",4
228,"饺子/馄饨(半荤)",5
59,"饺子/馄饨(半荤)",2
151,"饺子/馄饨(半荤)",0
190,"饺子/馄饨(半荤)",2
181,"饺子/馄饨(半荤)",4
247,"饺子/馄饨(半荤)",2
291,"饺子/馄饨(半荤)",2
54,"饺子/馄饨(半荤)",5
21,"饺子/馄饨(半荤)",0
188,"饺子/馄饨(半荤)",2
32,"饺子/馄饨(半荤)",5
210,"饺子/馄饨(半荤)",4
204,"饺子/馄饨(半荤)",4
71,"饺子/馄饨(半荤)",5
24,"饺子/馄饨(半荤)",3
17,"饺子/馄饨(半荤)",0
28,"饺子/馄饨(半荤)",0
25,"饺子/馄饨(半荤)",3
72,"饺子/馄饨(半荤)",1
132,"饺子/馄饨(半荤)",0
12,"饺子/馄饨(半荤)",4
130,"饺子/馄饨(半荤)",0
287,"饺子/馄饨(半荤)",3
240,"饺子/馄饨(半荤)",1
40,"饺子/馄饨(半荤)",3
220,"饺子/馄饨(半荤)",1
23,"饺子/馄饨(半荤)",4
7,"饺子/馄饨(半荤)",3
253,"饺子/馄饨(半荤)",5
245,"饺子/馄饨(半荤)",4
227,"饺子/馄饨(半荤)",2
195,"饺子/馄饨(半荤)",4
271,"饺子/馄饨(半荤)",4
116,"饺子/馄饨(半荤)",3
191,"饺子/馄饨(半荤)",1
119,"饺子/馄饨(半荤)",1
231,"饺子/馄饨(半荤)",1
98,"饺子/馄饨(半荤)",0
105,"饺子/馄饨(半荤)",4
70,"饺子/馄饨(半荤)",4
13,"饺子/馄饨(半荤)",2
43,"饺子/馄饨(半荤)",4
8,"饺子/馄饨(半荤)",4
110,"饺子/馄饨(半荤)",2
103,"饺子/馄饨(半荤)",3
76,"饺子/馄饨(半荤)",3
254,"饺子/馄饨(半荤)",3
22,"饺子/馄饨(荤馅)",3
16,"饺子/馄饨(荤馅)",0
81,"饺子/馄饨(荤馅)",1
187,"饺子/馄饨(荤馅)",5
52,"饺子/馄饨(荤馅)",5
236,"饺子/馄饨(荤馅)",0
94,"饺子/馄饨(荤馅)",3
40,"饺子/馄饨(荤馅)",4
231,"饺子/馄饨(荤馅)",4
7,"饺子/馄饨(荤馅)",5
292,"饺子/馄饨(荤馅)",1
70,"饺子/馄饨(荤馅)",0
203,"饺子/馄饨(荤馅)",0
265,"饺子/馄饨(荤馅)",1
218,"饺子/馄饨(荤馅)",0
234,"饺子/馄饨(荤馅)",2
20,"饺子/馄饨(荤馅)",5
154,"饺子/馄饨(荤馅)",5
175,"饺子/馄饨(荤馅)",3
43,"饺子/馄饨(荤馅)",2
163,"饺子/馄饨(荤馅)",4
281,"饺子/馄饨(荤馅)",5
279,"饺子/馄饨(荤馅)",1
54,"饺子/馄饨(荤馅)",2
14,"饺子/馄饨(荤馅)",1
68,"饺子/馄饨(荤馅)",0
5,"饺子/馄饨(荤馅)",2
69,"饺子/馄饨(荤馅)",3
176,"饺子/馄饨(荤馅)",5
233,"饺子/馄饨(荤馅)",2
285,"饺子/馄饨(荤馅)",5
72,"麦当劳 双层吉士汉堡",0
211,"麦当劳 双层吉士汉堡",3
54,"麦当劳 双层吉士汉堡",4
46,"麦当劳 双层吉士汉堡",3
115,"麦当劳 双层吉士汉堡",0
286,"麦当劳 双层吉士汉堡",0
100,"麦当劳 双层吉士汉堡",3
212,"麦当劳 双层吉士汉堡",2
145,"麦当劳 双层吉士汉堡",3
170,"麦当劳 双层吉士汉堡",2
233,"麦当劳 双层吉士汉堡",2
200,"麦当劳 双层吉士汉堡",5
166,"麦当劳 双层吉士汉堡",0
235,"麦当劳 双层吉士汉堡",1
138,"麦当劳 双层吉士汉堡",3
228,"麦当劳 双层吉士汉堡",4
208,"麦当劳 双层吉士汉堡",0
183,"麦当劳 双层吉士汉堡",1
230,"麦当劳 双层吉士汉堡",0
73,"麦当劳 双层吉士汉堡",2
248,"麦当劳 双层吉士汉堡",3
189,"麦当劳 双层吉士汉堡",4
44,"麦当劳 双层吉士汉堡",3
196,"麦当劳 双层吉士汉堡",2
204,"麦当劳 双层吉士汉堡",0
103,"麦当劳 双层吉士汉堡",5
169,"麦当劳 双层吉士汉堡",5
273,"麦当劳 双层吉士汉堡",1
81,"麦当劳 双层吉士汉堡",4
39,"麦当劳 双层吉士汉堡",2
102,"麦当劳 双层吉士汉堡",2
255,"麦当劳 双层吉士汉堡",2
14,"麦当劳 双层吉士汉堡",1
266,"麦当劳 双层吉士汉堡",3
193,"意大利面(通心粉)",5
72,"意大利面(通心粉)",0
294,"意大利面(通心粉)",2
234,"意大利面(通心粉)",4
188,"意大利面(通心粉)",3
180,"意大利面(通心粉)",4
8,"意大利面(通心粉)",4
169,"意大利面(通心粉)",3
45,"意大利面(通心粉)",2
283,"意大利面(通心粉)",1
2,"意大利面(通心粉)",2
260,"意大利面(通心粉)",5
138,"白薯",0
152,"白薯",1
159,"白薯",5
175,"白薯",1
56,"白薯",2
243,"白薯",5
201,"白薯",1
158,"白薯",4
62,"白薯",5
100,"白薯",4
93,"白薯",5
295,"白薯",5
117,"白薯",3
116,"白薯",0
13,"白薯",5
104,"白薯",4
169,"白薯",3
231,"白薯",4
210,"白薯",3
228,"白薯",1
105,"白薯",3
204,"白薯",0
14,"白薯",1
118,"白薯",3
298,"白薯",1
266,"白薯",5
180,"白薯",0
119,"白薯",2
281,"桃李 醇熟切片面包",2
272,"桃李 醇熟切片面包",2
255,"桃李 醇熟切片面包",2
179,"桃李 醇熟切片面包",3
232,"桃李 醇熟切片面包",4
117,"桃李 醇熟切片面包",5
101,"桃李 醇熟切片面包",2
160,"桃李 醇熟切片面包",0
85,"桃李 醇熟切片面包",3
21,"桃李 醇熟切片面包",1
103,"桃李 醇熟切片面包",5
112,"桃李 醇熟切片面包",1
110,"桃李 醇熟切片面包",4
273,"桃李 醇熟切片面包",0
250,"桃李 醇熟切片面包",2
22,"桃李 醇熟切片面包",0
252,"桃李 醇熟切片面包",4
194,"桃李 醇熟切片面包",3
66,"桃李 醇熟切片面包",4
141,"桃李 醇熟切片面包",2
119,"桃李 醇熟切片面包",5
7,"桃李 醇熟切片面包",4
170,"桃李 醇熟切片面包",4
229,"桃李 醇熟切片面包",1
277,"桃李 醇熟切片面包",2
61,"桃李 醇熟切片面包",1
256,"桃李 醇熟切片面包",2
270,"桃李 醇熟切片面包",1
128,"油饼",5
171,"油饼",3
109,"油饼",3
182,"油饼",5
29,"粉丝(干)",4
144,"粉丝(干)",3
124,"粉丝(干)",4
22,"三明治(夹鸡蛋、干酪)",0
102,"三明治(夹鸡蛋、干酪)",2
255,"三明治(夹鸡蛋、干酪)",2
27,"三明治(夹鸡蛋、干酪)",1
49,"三明治(夹鸡蛋、干酪)",0
72,"红豆",2
165,"红豆",5
41,"红豆",2
243,"红豆",1
147,"红豆",0
264,"红豆",2
22,"红豆",5
55,"红豆",0
259,"红豆",4
24,"红豆",2
219,"红豆",0
67,"比萨饼(夹奶酪、肉和蔬菜)",3
14,"比萨饼(夹奶酪、肉和蔬菜)",5
52,"比萨饼(夹奶酪、肉和蔬菜)",4
143,"比萨饼(夹奶酪、肉和蔬菜)",4
298,"比萨饼(夹奶酪、肉和蔬菜)",1
219,"比萨饼(夹奶酪、肉和蔬菜)",0
64,"比萨饼(夹奶酪、肉和蔬菜)",4
58,"比萨饼(夹奶酪、肉和蔬菜)",2
245,"比萨饼(夹奶酪、肉和蔬菜)",2
17,"比萨饼(夹奶酪、肉和蔬菜)",3
266,"比萨饼(夹奶酪、肉和蔬菜)",1
124,"比萨饼(夹奶酪、肉和蔬菜)",3
32,"比萨饼(夹奶酪、肉和蔬菜)",0
55,"比萨饼(夹奶酪、肉和蔬菜)",5
86,"比萨饼(夹奶酪、肉和蔬菜)",0
268,"比萨饼(夹奶酪、肉和蔬菜)",2
142,"比萨饼(夹奶酪、肉和蔬菜)",3
296,"比萨饼(夹奶酪、肉和蔬菜)",5
267,"比萨饼(夹奶酪、肉和蔬菜)",5
47,"比萨饼(夹奶酪、肉和蔬菜)",0
108,"比萨饼(夹奶酪、肉和蔬菜)",2
21,"比萨饼(夹奶酪、肉和蔬菜)",3
278,"比萨饼(夹奶酪、肉和蔬菜)",3
63,"比萨饼(夹奶酪、肉和蔬菜)",3
185,"比萨饼(夹奶酪、肉和蔬菜)",3
27,"比萨饼(夹奶酪、肉和蔬菜)",0
150,"比萨饼(夹奶酪、肉和蔬菜)",0
119,"比萨饼(夹奶酪、肉和蔬菜)",3
114,"比萨饼(夹奶酪、肉和蔬菜)",1
151,"比萨饼(夹奶酪、肉和蔬菜)",1
280,"比萨饼(夹奶酪、肉和蔬菜)",4
159,"比萨饼(夹奶酪、肉和蔬菜)",0
220,"比萨饼(夹奶酪、肉和蔬菜)",1
121,"比萨饼(夹奶酪、肉和蔬菜)",2
38,"比萨饼(夹奶酪、肉和蔬菜)",1
16,"比萨饼(夹奶酪、肉和蔬菜)",1
197,"比萨饼(夹奶酪、肉和蔬菜)",2
226,"糙米",5
4,"糙米",5
66,"糙米",0
19,"糙米",4
273,"糙米",1
121,"糙米",4
213,"糙米",1
23,"糙米",1
264,"糙米",0
48,"糙米",1
135,"糙米",4
122,"糙米",2
232,"糙米",2
287,"糙米",2
89,"糙米",2
162,"糙米",3
253,"糙米",3
147,"糙米",4
293,"糙米",4
265,"糙米",3
129,"糙米",4
186,"牛角面包",1
279,"牛角面包",2
65,"牛角面包",4
48,"牛角面包",1
143,"牛角面包",0
162,"牛角面包",4
260,"米粉(干)",2
274,"米粉(干)",4
10,"米粉(干)",3
52,"米粉(干)",3
162,"米粉(干)",2
28,"米粉(干)",4
255,"米粉(干)",2
9,"米粉(干)",4
233,"米粉(干)",3
254,"米粉(干)",1
35,"米粉(干)",1
218,"米粉(干)",3
57,"米粉(干)",3
37,"米粉(干)",5
55,"米粉(干)",5
280,"包子(三鲜馅)",2
44,"包子(三鲜馅)",2
229,"包子(三鲜馅)",4
14,"包子(三鲜馅)",2
17,"包子(三鲜馅)",0
196,"包子(三鲜馅)",0
105,"包子(三鲜馅)",4
242,"包子(三鲜馅)",4
76,"包子(三鲜馅)",5
257,"包子(三鲜馅)",2
37,"籼米粉",2
224,"籼米粉",0
151,"籼米粉",5
165,"籼米粉",0
172,"籼米粉",0
189,"籼米粉",3
21,"籼米粉",3
210,"籼米粉",2
81,"籼米粉",3
99,"籼米粉",1
139,"籼米粉",3
297,"籼米粉",3
141,"籼米粉",2
135,"籼米粉",0
226,"籼米粉",0
113,"肯德基 香辣鸡腿堡",4
203,"三明治(夹火腿、干酪)",0
10,"三明治(夹火腿、干酪)",4
296,"三明治(夹火腿、干酪)",3
265,"三明治(夹火腿、干酪)",3
282,"三明治(夹火腿、干酪)",0
100,"三明治(夹火腿、干酪)",4
35,"三明治(夹火腿、干酪)",2
279,"三明治(夹火腿、干酪)",0
120,"三明治(夹火腿、干酪)",2
294,"三明治(夹火腿、干酪)",1
22,"三明治(夹火腿、干酪)",5
225,"三明治(夹火腿、干酪)",1
207,"三明治(夹火腿、干酪)",2
162,"三明治(夹火腿、干酪)",4
58,"三明治(夹火腿、干酪)",4
4,"三明治(夹火腿、干酪)",1
152,"三明治(夹火腿、干酪)",5
173,"三明治(夹火腿、干酪)",2
295,"三明治(夹火腿、干酪)",3
213,"三明治(夹火腿、干酪)",5
270,"三明治(夹火腿、干酪)",3
152,"黑米",3
172,"黑米",1
82,"黑米",3
298,"黑米",2
249,"黑米",3
44,"黑米",0
29,"黑米",4
264,"黑米",3
131,"黑米",3
