tittle,feature
"王裔佳 寿司紫菜","高热量"
"王裔佳 寿司紫菜","高蛋白"
"ｺｽﾓｽ魔芋板","低热量"
"Champignons","低热量"
"香杏丁蘑(干，大)","高热量"
"香杏丁蘑(干，大)","高糖"
"香杏丁蘑(干，大)","高蛋白"
"香杏丁蘑(干，大)","高纤维"
"白果(干)","高热量"
"白果(干)","高糖"
"白果(干)","高蛋白"
"金鸽 瓜子","高热量"
"金鸽 瓜子","高脂肪"
"金鸽 瓜子","高蛋白"
"洽洽 小黄袋每日坚果","高热量"
"洽洽 小黄袋每日坚果","高脂肪"
"洽洽 小黄袋每日坚果","高蛋白"
"洽洽 小黄袋每日坚果","高纤维"
"兰花干串-关东煮","高蛋白"
"克拉农场 南瓜籽","高热量"
"克拉农场 南瓜籽","高脂肪"
"克拉农场 南瓜籽","高蛋白"
"龙岩花生 水煮花生","高热量"
"龙岩花生 水煮花生","高脂肪"
"龙岩花生 水煮花生","高蛋白"
"西瓜子(话梅)","高热量"
"西瓜子(话梅)","高脂肪"
"西瓜子(话梅)","高蛋白"
"西瓜子(话梅)","高纤维"
"天虹牌 原味巴旦木仁","高热量"
"天虹牌 原味巴旦木仁","高脂肪"
"天虹牌 原味巴旦木仁","高蛋白"
"沃隆 每日坚果(B)","高热量"
"沃隆 每日坚果(B)","高脂肪"
"沃隆 每日坚果(B)","高蛋白"
"香榧(熟)","高热量"
"香榧(熟)","高脂肪"
"香榧(熟)","高蛋白"
"花生油","高热量"
"花生油","高脂肪"
"橄榄油","高热量"
"橄榄油","高脂肪"
"菜籽油","高热量"
"菜籽油","高脂肪"
"混合油(菜+棕)","高热量"
"混合油(菜+棕)","高脂肪"
"黄油","高热量"
"黄油","高脂肪"
"豆油","高热量"
"豆油","高脂肪"
"辣椒油","高热量"
"辣椒油","高脂肪"
"玉米油","高热量"
"玉米油","高脂肪"
"椰子油","高热量"
"椰子油","高脂肪"
"欧丽薇兰 特级初榨橄榄油","高热量"
"欧丽薇兰 特级初榨橄榄油","高脂肪"
"芝麻油","高热量"
"芝麻油","高脂肪"
"春明 香油","高热量"
"春明 香油","高脂肪"
"金龙鱼 食用调和油","高热量"
"金龙鱼 食用调和油","高脂肪"
"葵花籽油","高热量"
"葵花籽油","高脂肪"
"色拉油","高热量"
"色拉油","高脂肪"
"olivoila 初榨橄榄油","高热量"
"olivoila 初榨橄榄油","高脂肪"
"金龙鱼 玉米油","高热量"
"金龙鱼 玉米油","高脂肪"
"胡麻油","高热量"
"胡麻油","高脂肪"
"安佳 淡奶油","高热量"
"安佳 淡奶油","高脂肪"
"茶油","高热量"
"茶油","高脂肪"
"Fula植物油","高热量"
"Fula植物油","高脂肪"
"核桃油","高热量"
"核桃油","高脂肪"
"安佳 黄油(原味)","高热量"
"安佳 黄油(原味)","高脂肪"
"安佳 黄油粒","高热量"
"安佳 黄油粒","高脂肪"
"佳之选 橄榄油","高热量"
"佳之选 橄榄油","高脂肪"
"MCT 油","高热量"
"MCT 油","高脂肪"
"胡姬花 花生油","高热量"
"胡姬花 花生油","高脂肪"
"总统 牌淡味黄油块","高热量"
"总统 牌淡味黄油块","高脂肪"
"安佳 黄油","高热量"
"安佳 黄油","高脂肪"
"欧丽薇兰 橄榄油","高热量"
"欧丽薇兰 橄榄油","高脂肪"
"品利 特级初榨橄榄油","高热量"
"品利 特级初榨橄榄油","高脂肪"
"Boonboon 冷榨椰子油 500mL","高热量"
"Boonboon 冷榨椰子油 500mL","高脂肪"
"油茶籽油","高热量"
"油茶籽油","高脂肪"
"Somerfield 纯菜油","高热量"
"Somerfield 纯菜油","高脂肪"
"雀巢 淡奶油(稀奶油)","高热量"
"雀巢 淡奶油(稀奶油)","高脂肪"
"总统 小杯装黄油","高热量"
"总统 小杯装黄油","高脂肪"
"乐购 植物油","高热量"
"乐购 植物油","高脂肪"
"铁塔 淡奶油","高热量"
"铁塔 淡奶油","高脂肪"
"西王 玉米油","高热量"
"西王 玉米油","高脂肪"
"蟹子豆腐","高热量"
"蟹子豆腐","高蛋白"
"烹子鱼","高蛋白"
"干风春鱼","高蛋白"
"桂花糖年糕","高热量"
"桂花糖年糕","高糖"
"熘素鹅皮","高热量"
"金蒜银鱼蒸菜心","高蛋白"
"拆烩鲢鱼头","高蛋白"
"五花玻璃肉","高热量"
"五花玻璃肉","高蛋白"
"自制苏式月饼","高热量"
"自制苏式月饼","高脂肪"
"自制苏式月饼","高蛋白"
"蓓琳娜 PDO特级初榨橄榄油","高热量"
"蓓琳娜 PDO特级初榨橄榄油","高脂肪"
"光明 全脂奶粉","高热量"
"光明 全脂奶粉","高脂肪"
"光明 全脂奶粉","高蛋白"
"世祁 咖啡奶油球","高热量"
"世祁 咖啡奶油球","高脂肪"
"金龙鱼 玉米油(玉米胚芽油)","高热量"
"金龙鱼 玉米油(玉米胚芽油)","高脂肪"
"鲁花 5S压榨一级花生油","高热量"
"鲁花 5S压榨一级花生油","高脂肪"
"品利特级初榨橄榄油","高热量"
"品利特级初榨橄榄油","高脂肪"
"vegetable 植物油","高热量"
"vegetable 植物油","高脂肪"
"酥油","高热量"
"酥油","高脂肪"
"克莉娜 橄榄油","高热量"
"克莉娜 橄榄油","高脂肪"
"蓝米吉 淡奶油","高热量"
"蓝米吉 淡奶油","高脂肪"
"鲁花 橄榄油","高热量"
"鲁花 橄榄油","高脂肪"
"米糠油","高热量"
"米糠油","高脂肪"
"椰来香 椰子油","高热量"
"椰来香 椰子油","高脂肪"
"伯爵 特级初榨橄榄油","高热量"
"伯爵 特级初榨橄榄油","高脂肪"
"富川 山茶油","高热量"
"富川 山茶油","高脂肪"
"羊油","高热量"
"羊油","高脂肪"
"金龙鱼 黄金比例食用调和油","高热量"
"金龙鱼 黄金比例食用调和油","高脂肪"
"melrose 椰子油","高热量"
"melrose 椰子油","高脂肪"
"福临门 花生油","高热量"
"福临门 花生油","高脂肪"
"金龙鱼 大豆油","高热量"
"金龙鱼 大豆油","高脂肪"
"香炸仔鸡","高热量"
"香炸仔鸡","高蛋白"
"神仙蛋","高热量"
"神仙蛋","高蛋白"
"红烧大乌","高蛋白"
"蛋白夹沙","高热量"
"响铃球","高热量"
"响铃球","高脂肪"
"原焖鱼翅","高蛋白"
"扒鲜翅","高蛋白"
"石榴虾","高蛋白"
"两色豆茸","高热量"
"爆乌花","高蛋白"
"Wesson 植物油","高热量"
"Wesson 植物油","高脂肪"
"大麻油","高热量"
"大麻油","高脂肪"
"鲁花 高油酸花生油","高热量"
"鲁花 高油酸花生油","高脂肪"
"欧德堡 淡奶油","高热量"
"欧德堡 淡奶油","高脂肪"
"福临门 调和油","高热量"
"福临门 调和油","高脂肪"
"福临门 玉米油","高热量"
"福临门 玉米油","高脂肪"
"福临门 家香味菜籽油","高热量"
"福临门 家香味菜籽油","高脂肪"
"贝蒂斯特级初榨橄榄油","高热量"
